Second 1 X,Second 1 Y,Second 1 Z,Second 2 X,Second 2 Y,Second 2 Z,Second 3 X,Second 3 Y,Second 3 Z,Second 4 X,Second 4 Y,Second 4 Z,Second 5 X,Second 5 Y,Second 5 Z,Second 6 X,Second 6 Y,Second 6 Z,Second 7 X,Second 7 Y,Second 7 Z,Second 8 X,Second 8 Y,Second 8 Z,Second 9 X,Second 9 Y,Second 9 Z,Second 10 X,Second 10 Y,Second 10 Z,animal
0.586579,5.389348,10.101137,1.592144,7.026982,11.207258,3.069367,9.138668,10.086772,-0.955287,-1.551443,0.069432,-1.034295,-1.347936,-0.064643,-0.878672,-0.873884,-0.220267,-25.356991,-0.292093,16.033968,-2.47321,-7.206547,0.184354,-3.620033,-4.958392,-0.026336,-0.332794,-0.270545,0.033519,Wild_Boar
-1.364695,11.295844,28.589163,-0.260968,-0.387861,-0.174777,-0.237026,-0.320823,0.02873,-0.227449,-0.237026,0.033519,-0.11971,-0.196325,0.100556,15.545551,-3.069367,-31.1749,-0.253785,-0.914585,-0.100556,-0.222661,-0.859518,0.002394,-2.477999,-7.967903,-11.030087,0.335188,0.332794,5.45878,Wild_Boar
0.117316,8.374918,3.955221,-0.296881,8.856153,3.608062,-0.143652,10.081984,2.181118,-1.604115,8.576031,4.29041,-1.204283,9.526528,1.989582,-0.126893,-0.040701,-0.035913,-0.100556,-0.095768,-0.023942,-0.071826,-0.076614,-0.043096,-5.123591,-24.868572,-1.733402,-8.063671,-38.233006,-0.270545,Wild_Boar
0.646434,2.011129,3.890578,-0.531513,-0.280122,0.009577,-0.464475,-0.158017,-0.019154,-0.371101,-0.095768,-0.014365,-0.287304,-0.014365,0.07422,11.097125,-70.334465,54.025162,-0.59855,-3.871424,0.031125,-3.433285,-7.127539,-0.043096,-0.174777,-0.943315,-0.033519,-0.550666,3.61285,-1.09415,Wild_Boar
-2.154782,12.368446,12.172121,-0.799663,-0.311246,0.016759,-0.849942,-0.493206,-0.033519,-0.897826,-0.469264,-0.196325,-0.703895,-0.301669,-0.299275,-37.368702,-0.086191,78.410103,-1.211466,-0.811634,0.035913,-1.144428,-0.636858,-0.11971,-0.107739,-0.318429,-0.502782,-0.344765,-0.979228,-5.334281,Wild_Boar
1.991976,1.321599,11.303026,2.32477,0.653617,11.786655,2.087744,-0.126893,12.466608,1.944092,-0.943315,13.22557,1.836353,-1.369483,14.444219,1.383849,-1.632846,15.583858,1.45328,-1.398214,15.981297,1.007959,-0.545878,14.202404,2.937685,1.175553,12.993333,4.786009,0.296881,11.446678,Wild_Boar
-3.691859,5.439626,9.25359,-8.470686,12.909535,27.564444,-9.91439,13.424289,32.807747,-7.575254,12.658144,32.676064,-2.430115,10.79785,27.157431,-0.153229,8.293514,19.349937,-0.351948,1.865083,9.564836,-1.671153,-1.975216,0.92895,-1.762132,-2.195483,-0.110133,-1.762132,-2.149993,-0.02873,Wild_Boar
-15.358804,10.675745,58.708221,-1.917756,-4.601655,-0.102951,-1.608904,-2.468422,0.02873,0.383072,-2.908955,0.186748,0.579397,-3.148375,0.04549,-0.162806,-2.229002,-1.055843,5.116409,72.091805,-12.734758,-4.388572,-34.397495,0.622492,1.357512,-26.965893,-0.186748,-17.240646,-41.927261,-0.162806,Wild_Boar
-0.646434,1.714248,10.201694,-1.125275,2.822764,17.27177,-0.172383,-1.398214,2.906561,-0.191536,-2.011129,0.0,-0.059855,-1.881842,-0.153229,-0.055067,-1.980005,-0.742203,0.395043,-2.30801,0.162806,10.860099,-20.657173,26.76478,-6.888118,15.86398,-3.775656,-0.591368,-1.170765,32.549171,Wild_Boar
-6.835446,11.468226,42.202595,-0.117316,-0.208296,-0.263362,-0.110133,-0.201113,-0.014365,-0.117316,-0.179565,0.007183,-0.083797,-0.141258,-0.043096,-0.033519,-0.064643,-0.081403,-0.663194,-3.280056,-0.064643,-0.768539,-3.10528,-0.059855,-7.975086,-17.791313,-0.70629,-0.646434,-2.568978,-0.04549,Wild_Boar
